U10         SSVF
6.1607     0.00053122     
6.9643     0.00089399     
8.0357     0.00142 
9.1741     0.0021911
9.9777     0.0031
11.049     0.0046472  
12.054     0.0060286  
12.991     0.0080502 
13.996     0.0098565  
14.933     0.011724
16.138     0.014776 
17.21       0.01973
18.013     0.024866       
19.018     0.029577        
20.022     0.035181
21.094     0.039495        
21.83       0.043075      
23.237     0.051236      
24.174     0.062732        
25.112     0.074618       
26.049     0.08138        
26.92       0.088755        
28.058     0.10557        
29.062     0.11186        
